logCPM	PValue	FDR	log2FoldChange
CTDSPL	6.56519937764728	1.34328782994131e-20	5.96668190350573e-19	-0.7403
SVEP1	2.12645044300649	1.49791295292493e-20	6.63735409431979e-19	-2.264
LIMK2	4.28819892370742	1.99081683845461e-20	8.77882903449938e-19	-1.0847
TTYH3	6.18322811355154	2.40642748773608e-20	1.05859614978578e-18	-0.7631
LGR6	1.70384730471637	3.96008239307711e-20	1.70910789995309e-18	-2.8053
TBC1D5	5.74937580944974	4.007744369628e-20	1.72559861348889e-18	-0.8144
PIGQ	4.40097174365528	4.05718304966862e-20	1.74277491187648e-18	-1.0125
WNT9A	5.46909317954372	5.66750174520735e-20	2.40060120325998e-18	-0.82
SYT12	2.87597166109135	5.84655668078771e-20	2.46500551419077e-18	-1.7945
TXNIP	5.96717347479677	6.34626825427975e-20	2.66339018965819e-18	-0.7962
SCNN1A	7.66583417124314	6.58494095852023e-20	2.75721748024645e-18	-0.7776
ASAH1	5.538708580162	7.09450425228272e-20	2.95027949042536e-18	-0.8018
LOC100506548	4.56793372410869	8.51209323798618e-20	3.52373637534412e-18	-1.0548
BDNF	3.64082338601726	8.67582846406439e-20	3.58339195565519e-18	-1.3047
FBLN1	6.40213321470404	1.04375624913649e-19	4.30131243436473e-18	-0.7369
TRAK1	5.14291910252444	1.04650898423391e-19	4.30294324688609e-18	-0.9256
CLSTN1	7.34876888780854	1.05163927839036e-19	4.3143205991673e-18	-0.697
DECR1	4.90417014679098	1.07447283931304e-19	4.39811124540333e-18	-0.9996
SMIM14	5.61963648260069	1.36439697192669e-19	5.54753477048855e-18	-0.8633
ADIRF	3.95965740115395	1.72821827185718e-19	6.98016654226211e-18	-1.187
HSPB11	7.00512856132965	1.92707552187054e-19	7.76615689343676e-18	-0.7399
HPGD	0.624077280631572	2.55149395549615e-19	1.02149284323548e-17	-5.2386
ATP9A	4.11282885658012	2.59296464624155e-19	1.0358241265161e-17	-1.0855
ACAP3	4.43099297993103	2.71044633148508e-19	1.07974761251355e-17	-1.0242
ADCK1	3.60712496890562	2.71474668133063e-19	1.07974761251355e-17	-1.4024
ZC2HC1C	2.86370762228797	2.72213155823625e-19	1.08033116798176e-17	-1.7475
SBK1	3.84018136872379	3.05856409269157e-19	1.20598587637532e-17	-1.1813
MYO5C	4.99464401905606	3.35844800411727e-19	1.31853390888527e-17	-0.8788
RARRES1	1.60677332617057	3.53219256116303e-19	1.38377054499125e-17	-3.3267
ODF2L	4.93665548600842	3.63734899658579e-19	1.42191527369744e-17	-0.8855
ALS2CL	4.89303531111462	3.66052697476984e-19	1.42546016186883e-17	-0.8901
MDK	7.7401916906904	4.33048408361274e-19	1.68207058362626e-17	-0.7774
PERP	8.01339137666163	4.79978565112809e-19	1.85645946709734e-17	-0.7704
ACAA1	4.83568150325574	5.65147641199501e-19	2.18125482827444e-17	-0.953
PTPRU	3.99271334338064	6.50890025315883e-19	2.50279802372583e-17	-1.1159
MZT2B	5.6310945739369	6.63576362171645e-19	2.54501051844654e-17	-0.828
ATPIF1	6.42713551151988	8.20099421131716e-19	3.13216214062356e-17	-0.7257
ZNF362	3.68672238449046	8.47644626033072e-19	3.22387506101245e-17	-1.242
KDM1A	7.87067651788848	9.5863957981921e-19	3.63844577321819e-17	-0.6796
AQP3	2.64131816547504	9.84654219379698e-19	3.72942892717755e-17	-1.7579
S100A6	8.22135501560573	1.0223877616804e-18	3.86432939487316e-17	-0.7392
GALNT5	1.43539763510148	1.47118600366024e-18	5.53772612016936e-17	-3.2546
S100A10	9.21900228575422	1.69099052249611e-18	6.33895749049056e-17	-0.7723
PAG1	1.90338380662254	2.05462333080836e-18	7.68631219820438e-17	-2.3722
VSIG2	1.01899949995298	2.14479594336727e-18	8.00723818857113e-17	-3.7353
HIST1H2BD	2.81864852183439	2.82913274036481e-18	1.04551917627733e-16	-1.619
DHCR24	8.29550633748713	2.90134389715147e-18	1.07003907447267e-16	-0.6988
PPAP2B	4.42715140455325	2.99417812321553e-18	1.10205072212546e-16	-0.9517
ANXA8	6.29574413683056	3.0430655007781e-18	1.1177908205675e-16	-0.7074
EIF1B	4.69601914885058	3.52982625456466e-18	1.29139294796257e-16	-0.9252
VASH1	2.16603090539628	3.55904582084198e-18	1.29947881010582e-16	-2.1129
CSTB	7.7274993301615	3.57037398211461e-18	1.30101292250468e-16	-0.7994
ZNF503-AS1	0.706719755269081	3.84453639005879e-18	1.39812462822536e-16	-4.7869
NLRP4	0.215107762311914	5.0245551558114e-18	1.823623835477e-16	-8.0694
XK	2.71373378548948	6.41651408542535e-18	2.31045130460602e-16	-1.6477
PCDHAC2	0.839150133035833	6.47423091161716e-18	2.32664487248982e-16	-3.9384
SNCG	4.21203222446443	8.01221487094421e-18	2.86805871929328e-16	-1.0508
SCCPDH	4.72396783431844	8.37252668986425e-18	2.99117117906383e-16	-0.9158
METTL7A	3.10626305187562	9.40570604552745e-18	3.34718459195223e-16	-1.6474
RPL15	9.51389937311768	9.87020799397899e-18	3.50565208439845e-16	-0.7278
BRK1	6.71843266025894	1.02991091732475e-17	3.65088421488945e-16	-0.6941
PIEZO1	7.41634536841755	1.1395639061354e-17	4.03175943224959e-16	-0.7355
DHRS3	5.42101765669348	1.14206408706979e-17	4.0327895500089e-16	-0.7805
NNT	6.45200504465596	1.30830596653897e-17	4.60201035166386e-16	-0.7706
LZTFL1	4.6825773764475	2.11685840249949e-17	7.34702794601343e-16	-0.9643
WWC3	5.59493683189296	2.26881450621443e-17	7.85948342038911e-16	-0.8103
PTGS1	0.638592539116533	2.49610838022871e-17	8.5979159602746e-16	-4.3037
KRCC1	4.16494297252143	3.53186268724111e-17	1.20519037791166e-15	-1.1772
OSTF1	5.6673372537792	4.98972607271983e-17	1.68067230966002e-15	-0.8184
FAM167A	1.72097210868526	5.20995267847999e-17	1.74839882533696e-15	-2.303
