logCPM	PValue	FDR	log2FoldChange
EML1	3.59754730198597	2.28555571375983e-60	1.45891975910487e-58	3.2712
PPP2R3A	5.76544578214535	2.32772114610484e-60	1.48065774366864e-58	1.9719
KIAA1456	2.50864373751053	2.41349721492682e-60	1.52988906790639e-58	10.1874
EIF4E3	3.49352308815464	4.28789497812241e-60	2.70864396957102e-58	4.4168
BET1	6.06965141993054	5.01584111076202e-60	3.15755845924385e-58	1.987
ACSM3	5.00916901643729	2.91239808004513e-59	1.80233014743403e-57	2.1895
CLINT1	8.2994823593578	3.41556651772535e-59	2.09948088712438e-57	1.8205
TPM1	7.99905135901124	4.83493604107942e-59	2.94221974553153e-57	1.7424
BICC1	6.90459617243492	1.09265314287574e-58	6.51878293344426e-57	1.8251
BIRC3	7.19350009501964	1.67947067378977e-58	9.98710639110944e-57	1.7522
AGPAT2	5.57814633519128	2.70171846050615e-58	1.59619974805826e-56	1.901
VLDLR	5.22081319655851	2.99899926122315e-58	1.76612033912548e-56	1.9562
NPDC1	4.82836730129013	5.12389412895907e-58	3.00777528033045e-56	2.2028
WWP1	5.75063255464592	9.78643741639779e-58	5.72632056005635e-56	1.8362
SQSTM1	8.49572517350458	1.95102863279521e-57	1.13433053249393e-55	1.7587
NFKBIZ	7.45938633784556	2.2920489106199e-57	1.32836967975482e-55	1.7202
NBR1	7.50488930836964	4.14640851860981e-57	2.39546942771331e-55	1.7296
STRA6	2.93308946217581	4.53880632566048e-57	2.61389426754756e-55	4.4555
HID1	4.57336969764946	2.21336461826733e-56	1.25099642325351e-54	2.2552
NINJ1	4.53450652641859	3.48990835196739e-56	1.94837207564271e-54	2.2735
MAPK10	3.55666825872265	4.52653476266391e-56	2.49656853858587e-54	3.1711
TJP3	4.71448857660374	5.63436369154832e-56	3.09822119135259e-54	2.1286
NBEA	4.46527740401609	1.10265375501484e-55	6.0450591446099e-54	2.2827
SLC17A3	2.41364796670903	1.30432285096725e-55	7.10797551261434e-54	10.09
TBC1D9	5.36679065174378	1.53030087661242e-55	8.31463476292746e-54	1.9115
GCC2	7.06400385804975	8.92229031452763e-55	4.7766959525518e-53	1.8717
PBX1	5.76393498407835	1.27319050686446e-54	6.75679241084812e-53	2.0831
HIP1R	6.67882772717054	2.01829353288222e-54	1.06184342179533e-52	1.7525
LOC104798195	2.448457026976	2.52882145357166e-54	1.32661392116104e-52	6.9505
TMEM2	8.31255055250024	2.74442502339361e-54	1.43559378874137e-52	1.6925
GALM	5.54441080720411	4.48102994208215e-54	2.33064622856557e-52	1.7983
EGFL7	3.45094502922126	5.51499003408018e-54	2.852171616492e-52	3.3085
COL4A1	5.04706500698079	7.75567619186821e-54	3.98838379038721e-52	2.298
RAB9A	5.39188040111139	1.36908950344806e-53	7.02081403790671e-52	1.8359
LRRC19	2.51726697016807	2.58758057267537e-53	1.31584598704071e-51	6.0951
CORO2A	4.76879734440181	3.83566070679614e-53	1.9397180571543e-51	2.034
SLC6A20	3.01610249368084	5.17540147116151e-53	2.61000357064985e-51	4.2294
BPGM	5.4591205023455	5.58338165631403e-53	2.80799491784212e-51	1.7859
SYCE1L	3.96981371325076	5.80996019480336e-53	2.91391849770138e-51	2.8082
AMACR	3.57497264926358	2.5221551211331e-52	1.25120825791864e-50	3.848
SGPP1	5.56432367409376	2.61718731918844e-52	1.29483392138494e-50	1.7561
LRG1	5.32662661419571	6.58771254199315e-52	3.23293763888782e-50	1.8789
ARHGEF10L	4.65630700041224	7.03888932390884e-52	3.44509285515495e-50	2.1051
PAX6	2.67715105450008	9.70629206319677e-52	4.73791625416364e-50	4.6973
