logCPM	PValue	FDR	log2FoldChange
HIST1H1C	3.67498110069372	1.4795764292527e-18	9.85808295344427e-17	-1.482
DLST	7.08341056438546	1.66525981704928e-18	1.10549029891097e-16	-0.8955
H2AFJ	5.38424597050078	2.20881191141701e-18	1.46101703821844e-16	-1.1086
PLEKHA7	4.20323482843344	2.68517981268608e-18	1.75701228173466e-16	-1.1125
SCEL	3.98918456635325	2.89154123859075e-18	1.87857568867305e-16	-1.8115
LOC101929613	2.08704540420378	2.90941844927994e-18	1.88348734787428e-16	-2.166
BHLHE41	4.58797678628555	3.55128005358221e-18	2.27481293537532e-16	-0.9898
CORO6	2.83989931414962	3.95832202708931e-18	2.51787898698754e-16	-1.65
SCNN1A	7.63746550914977	4.2950793267516e-18	2.72260306212421e-16	-0.826
CRIP2	3.94628024070298	4.49728598932536e-18	2.84091532945065e-16	-1.2962
MT1E	4.09077960180498	5.47491153851585e-18	3.44655120852225e-16	-1.2043
FAM49A	0.548634057224563	5.87613328195423e-18	3.68641543626654e-16	-5.9858
IMPDH2	6.80115633949497	5.96917888382152e-18	3.73196334599471e-16	-0.7887
SMIM14	5.57375072827718	6.4261669632665e-18	4.00396259663458e-16	-0.9666
FBXL13	2.67219566713444	6.45386273312266e-18	4.00754143047235e-16	-1.7203
HIST1H2BK	6.62948652163699	9.57927032006555e-18	5.92810708349548e-16	-0.8062
LAMB2	5.23517507013765	1.055427264006e-17	6.50941896340998e-16	-1.0483
KCNS3	4.42421083218437	1.09509018734572e-17	6.73130183844564e-16	-1.0155
ACAP3	4.35332098007218	1.14637936911451e-17	7.02292005454849e-16	-1.2462
GSN	5.35391796484247	1.30432152041813e-17	7.96377714941582e-16	-0.8734
PPL	7.27932258834476	1.65789063190644e-17	1.00220037669152e-15	-0.7759
C14orf2	6.52276188643006	1.93431015272951e-17	1.16160414961283e-15	-0.7984
SERINC2	4.51075492533049	2.12651843318466e-17	1.27284329561374e-15	-1.0436
NDRG1	4.97694127929798	2.80698236853964e-17	1.66919446645146e-15	-0.9473
ITGB4	7.34410107389548	2.99242201721967e-17	1.76669169824769e-15	-0.7894
ACP6	4.6897654300242	2.9999694700744e-17	1.76669169824769e-15	-0.9483
TSPAN13	5.34405417507723	3.07761947185985e-17	1.80107015446942e-15	-0.8987
GLUL	7.02268195532818	3.0780778275332e-17	1.80107015446942e-15	-0.7713
ANKRD65	2.20198814121385	3.1138355882122e-17	1.81617196480517e-15	-2.1218
NLRP4	0.222480336060169	3.24588724261856e-17	1.88716297774664e-15	-8.0468
SLC4A11	3.41795405627945	3.47090294457803e-17	2.01158108432434e-15	-1.3369
LAMA3	6.47027198918017	4.21871580885476e-17	2.42191433353624e-15	-0.7953
GDPD3	3.10056297142761	4.28333637873247e-17	2.45130372821755e-15	-1.4086
DTX4	4.54728868590813	5.30265452027435e-17	3.02516440381652e-15	-0.9891
TKT	9.49733609150388	5.49348980890783e-17	3.12427258415643e-15	-0.8573
LGALS9B	1.15452789757354	6.29603092127897e-17	3.55852447364919e-15	-3.2107
SLC29A3	4.07987387241478	7.2006103124345e-17	4.0572327735742e-15	-1.0581
CALHM3	1.81763022193109	7.64177463630952e-17	4.29256116186051e-15	-2.3139
TADA3	5.47642806713018	1.00628561588917e-16	5.63519944897936e-15	-0.8472
NRP2	5.20764293053361	1.03837097043585e-16	5.79709493464122e-15	-0.8691
DNAAF3	3.63186481939104	1.13538178326181e-16	6.31936885220352e-15	-1.1828
FER1L4	5.04768928641205	1.14274770455822e-16	6.34103407125072e-15	-0.9091
NEAT1	8.47924482783448	1.20004290129804e-16	6.63878278972635e-15	-0.8937
NCKIPSD	4.29802800015838	1.33036422653377e-16	7.33750130501526e-15	-1.063
DHRS3	5.38598962373931	1.46725567954633e-16	8.06813845957763e-15	-0.8477
IP6K2	5.99842990814275	1.78471327918193e-16	9.75500767207942e-15	-0.8563
H1F0	7.26942627901782	1.89035770440167e-16	1.03016030601663e-14	-0.8282
PTGS1	0.645414872292849	2.3463958111995e-16	1.2748750574184e-14	-4.2568
LRRC6	2.58105085785265	2.94833810846467e-16	1.5924514943234e-14	-1.6921
HRASLS2	1.09275816027658	3.53274599896834e-16	1.89687679285783e-14	-3.2618
ABCA4	3.02161346286114	3.8792726858757e-16	2.07683290772278e-14	-1.4417
ISG15	2.50430096372739	4.00870696951619e-16	2.13985246887391e-14	-1.7472
AHSA1	8.84369972444298	4.0209255992691e-16	2.14011713528445e-14	-0.8139
CST3	5.97300668889298	4.80786789648354e-16	2.53677561613305e-14	-0.9131
PERP	7.99844825466117	5.14852669721655e-16	2.70868885833963e-14	-0.7822
MLLT3	3.72195320955017	5.57004254435034e-16	2.92203151407069e-14	-1.2791
CKB	3.85270338999824	5.79953800491436e-16	3.03370675695463e-14	-1.1931
CERCAM	4.8624726349216	6.07928333566783e-16	3.161920130369e-14	-0.8717
SIX2	3.89083471656766	6.12741034750408e-16	3.17789782113735e-14	-1.5278
UBXN10	3.3196663075918	6.71423247372367e-16	3.45281769127604e-14	-1.5276
RPL14	9.09961754369702	8.69493819455564e-16	4.45884246291595e-14	-0.7317
SBK3	3.30177118089333	9.24784026980161e-16	4.72909165169463e-14	-1.3456
SEC14L2	4.70263163390652	9.69700394974028e-16	4.94493028230331e-14	-0.91
AFP	0.640090833860765	9.78390393871042e-16	4.96152639736382e-14	-5.1852
FOXJ1	3.47705544793729	1.03947765975941e-15	5.25670475251183e-14	-1.4695
JAG1	5.06482658907473	1.1525609455344e-15	5.79646077732122e-14	-0.8359
FLNC	6.98607118567293	1.30666041732855e-15	6.53545002157536e-14	-0.7105
MLH3	5.21847732631791	1.43201525849072e-15	7.12339797248135e-14	-0.892
RPL32	8.94195786408374	1.43824881759562e-15	7.13496478642002e-14	-0.7564
B3GNT7	1.90319547244864	1.82073809509258e-15	8.93532114623928e-14	-2.1027
RARRES1	1.66532152162529	2.13109512631941e-15	1.0402479311788e-13	-2.6908
FGFR3	2.82405476106679	2.2362272190991e-15	1.08865504298328e-13	-1.5392
ZDHHC3	6.5078591589954	2.52912875913854e-15	1.22471550734305e-13	-0.7383
H1FX	6.58036274561366	2.57855763117989e-15	1.2453478337254e-13	-0.7474
SUSD2	1.16101655972917	2.82192875184912e-15	1.35929106315983e-13	-2.9709
HMGCL	4.21588898901784	3.02561428540964e-15	1.45356879985364e-13	-0.9807
HERC2P3	3.31928605369162	3.1642405182941e-15	1.51617781894953e-13	-1.4542
APOC1	2.97546327762801	3.77491408435174e-15	1.80405318125459e-13	-1.4995
ZSCAN31	5.05086229776968	3.97562276135516e-15	1.895012248859e-13	-0.8846
ZBTB47	2.74129978581098	4.3677007912695e-15	2.07647775118271e-13	-1.4655
UQCRC1	6.56239661440063	4.602448984713e-15	2.18239762766028e-13	-0.7237
CES1	1.3045466540064	5.86066161386431e-15	2.757531918111e-13	-3.4848
MSLN	4.53635926192009	6.59649273692233e-15	3.07993788760241e-13	-0.9375
LIPH	4.78083077082228	7.13292201914454e-15	3.3219036832016e-13	-0.8682
S100A5	1.19367965793089	7.17571466910615e-15	3.33332944018325e-13	-3.2327
ST6GALNAC2	2.34378870502636	8.09593371466345e-15	3.74175609860496e-13	-1.8548
RPSA	9.58134424105037	1.04863958216363e-14	4.76218015223365e-13	-0.8347
ID1	5.42889280506397	1.07612937026608e-14	4.86282618405384e-13	-1.1067
TMEM143	3.49878985914179	1.1094718524529e-14	5.00111558972351e-13	-1.1377
WNT9A	5.47282939002691	1.22109024705649e-14	5.49069545572986e-13	-0.7777
DHCR24	8.28006605393687	1.25045451738575e-14	5.60891834628853e-13	-0.7108
DUSP10	2.70043097402709	1.28942347124726e-14	5.76953796350246e-13	-1.4647
C1orf116	5.35368307675882	1.32414956254703e-14	5.91043384201921e-13	-0.8659
WDR86-AS1	0.0274443642483921	1.33358866985526e-14	5.93804750167745e-13	-7.8231
GJB4	2.02983181838537	1.48273443382693e-14	6.5700970446467e-13	-1.874
PVRL1	4.37824445918372	1.98939747220075e-14	8.70945809412397e-13	-0.9088
ALPP	4.25761982293858	2.0765341580488e-14	9.06918841850214e-13	-0.9356
ZC2HC1C	2.93608759064636	2.20443636889527e-14	9.60481869941578e-13	-1.4041
FGFBP1	3.83422667072666	2.47409318590506e-14	1.07285142997346e-12	-1.0832
XRCC3	5.30646941114101	2.53216896179652e-14	1.09543309399425e-12	-1.084
LINC00601	1.62313448885466	2.58626401713511e-14	1.11355745039666e-12	-2.2866
MBOAT1	3.69376105836814	2.62364101490084e-14	1.12434719173779e-12	-1.0838
AHNAK2	4.28579899506166	2.88736124747035e-14	1.23158100312661e-12	-1.2728
ADGRF4	2.96093801318756	3.0605199093059e-14	1.29936863870438e-12	-1.4744
RASAL1	2.67073285067054	3.24999416633343e-14	1.37342346066164e-12	-1.444
SHISA5	6.30870417614929	3.53660563992244e-14	1.49109174509063e-12	-0.7079
OVOL2	3.02661482287028	3.59967997869164e-14	1.51418796523029e-12	-1.4297
TRAK1	5.14189098697334	3.83718360492725e-14	1.60301198836503e-12	-0.8935
MYO15B	1.60975922273849	4.29364741324402e-14	1.77743372281594e-12	-2.2713
SYTL1	2.81521546276139	4.90323577885021e-14	2.01153870513909e-12	-1.3778
NMNAT2	4.44113184841275	6.30915146531376e-14	2.57097922211536e-12	-0.8897
LINC01559	0.0263148473921084	6.51148489132217e-14	2.64752044935362e-12	-7.8148
COL18A1	6.39698383935414	7.21333095960072e-14	2.91987960085301e-12	-0.7066
TM7SF2	2.70591015449699	8.13469982699631e-14	3.26446255750037e-12	-1.4186
ARL6IP5	5.33526236273206	8.1361221716842e-14	3.26446255750037e-12	-0.817
PLCE1	4.42104724849476	8.53808838839965e-14	3.41823117584702e-12	-0.9692
EMP2	6.66076569114098	8.81139183894903e-14	3.51992930879329e-12	-0.7117
GPX1	6.84225273188137	9.28218454847756e-14	3.68381654602188e-12	-1.0575
DNAH2	3.14586436313101	9.30866337877683e-14	3.6863114673091e-12	-1.3322
AKR1B1	8.48251428501154	9.42454527062719e-14	3.72412334330238e-12	-1.061
AK4	4.81982989974653	1.00303068958999e-13	3.94640695455923e-12	-0.908
MAGED1	6.34931213820479	1.20348451329874e-13	4.71476679716347e-12	-0.7294
BHLHE40	5.62576649451548	1.22241510671945e-13	4.77867455851613e-12	-0.7488
FUT2	2.18477020163896	1.25910254136735e-13	4.91157606735091e-12	-1.7231
PLEKHS1	0.392853115373835	1.3220098826496e-13	5.13502391864917e-12	-4.3719
C9orf116	4.17455419381995	1.32754136628023e-13	5.14556160993881e-12	-0.951
CA9	1.0877281804567	1.5482310409329e-13	5.95042229121496e-12	-2.7757
PCDHAC2	0.903530803552609	1.5734351636126e-13	6.03458662750244e-12	-3.0419
DAG1	8.11247888218726	1.62812130602101e-13	6.23123324166027e-12	-0.7074
ILDR1	1.12975626437077	1.64912889195286e-13	6.29843034550031e-12	-2.9247
ALKBH1	4.59630614892406	1.85000109692098e-13	7.0215426248211e-12	-0.901
SPTLC3	2.34077240055262	1.98995396119642e-13	7.53705384141119e-12	-1.8047
PTGES	6.492927443532	2.14926541153768e-13	8.09010089753235e-12	-0.6896
LDLRAP1	4.50302651454374	2.34124460333909e-13	8.79460112727539e-12	-0.8533
PER3	4.22127975583539	2.35892687342098e-13	8.84282731030257e-12	-1.0062
C2orf54	4.94959154011115	2.57583743797421e-13	9.59683434033821e-12	-0.8537
WDR90	4.46657405559728	2.69068671730079e-13	1.00043129757725e-11	-0.9823
TECPR2	4.7516138472306	2.86246458968974e-13	1.06213726726374e-11	-0.814
CAMK2N1	5.6266638229197	3.30343309867756e-13	1.22327534785918e-11	-0.8002
FCGBP	0.8129498247903	3.74222929271662e-13	1.37738181386764e-11	-3.089
BSDC1	5.27338405054366	3.88901618541006e-13	1.42566023053908e-11	-0.7397
SERPINB5	5.52640147658084	4.34321740247408e-13	1.58579553799134e-11	-0.9525
RCOR1	6.60147569105986	4.71497420024973e-13	1.71467268923823e-11	-0.6879
HIST1H2BD	2.88507760646196	4.7548517446249e-13	1.72573704671714e-11	-1.3166
DOCK3	4.43945604360104	4.78594574872007e-13	1.73357590453638e-11	-0.8439
ATP9A	4.1646767581759	4.80112862268498e-13	1.7356317650641e-11	-0.8926
SPCS1	5.8672590957345	4.86522871453184e-13	1.75186618170598e-11	-0.7885
PAFAH2	3.52717157217305	4.91126739828703e-13	1.76496255163638e-11	-1.0692
CTDSPL	6.58320861665084	4.93331203275357e-13	1.76940165952749e-11	-0.6631
RARRES3	3.03541929742004	5.32280123302416e-13	1.90162542681192e-11	-1.3014
MFI2	6.47933492021513	5.56930175007783e-13	1.98580415526213e-11	-0.6715
TMED8	6.74157984106983	5.66477595541372e-13	2.01590935364587e-11	-0.6934
ROGDI	4.32713977943798	5.83937717697427e-13	2.07400135686464e-11	-0.8782
