Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa05205	Proteoglycans in cancer	Cancer: overview	76/2118	8.8450799304615e-06	4.96387012630177e-06	3678/6774/3339/7422/8324/6385/2260/1514/2335/6714/4193/27250/54361/2065/6382/7410/5500/8321/5777/5058/7476/6655/1026/5603/6300/3710/2549/5290/673/5329/8322/3685/7474/5879/6654/6237/5595/10451/3693/4233/5293/288/355/5600/5727/6548/6469/7157/3688/2885/23365/2535/51196/287/4318/10000/3091/117581/5747/1432/960/1277/7074/22808/5582/2064/5291/5604/7040/3059/3709/80326/7483/8503/7855/2817	76
hsa04910	Insulin signaling pathway	Endocrine system	56/2118	1.07192853509049e-05	6.01567659613954e-06	3643/9021/5562/868/5106/5564/79660/2889/5500/2998/8651/7248/3551/6655/10603/3099/3636/5256/2997/5563/5290/673/5507/10580/25759/23433/6654/5595/5293/2872/32/2203/5509/5565/23265/2308/5255/2319/5584/2885/89801/53358/10000/5573/5577/5260/399694/5599/92579/5291/5604/6464/1399/5792/8503/3632	56
hsa00562	Inositol phosphate metabolism	Carbohydrate metabolism	35/2118	1.18265617699295e-05	6.63708153325331e-06	5330/5287/9110/8897/56623/138429/3636/80271/23007/5290/9562/3628/3612/4952/3707/253430/5293/55361/200576/5333/79837/4329/55586/3633/51196/10423/5728/51477/51763/23236/5291/8867/5286/8394/3632	35
hsa05152	Tuberculosis	Infectious disease: bacterial	69/2118	1.24110658630949e-05	6.9651059750419e-06	718/3552/3553/1051/51561/972/1520/3929/9902/843/3588/3569/3656/10312/8767/637/4261/22925/6714/317/3459/8844/5603/7132/1509/3717/1594/6300/6772/3687/3123/5869/842/929/3460/3689/3716/5993/535/5595/6850/64170/4843/5600/51135/64581/1263/10333/841/23365/2212/5868/51606/10000/1432/8877/533/5599/7096/5970/3920/537/7040/8411/3587/4790/1054/3117/7189	69
hsa04933	AGE-RAGE signaling pathway in diabetic complications	Endocrine and metabolic disease	44/2118	1.45420259192419e-05	8.1610034735621e-06	3576/3552/3553/3383/6774/5330/7422/6776/3569/5292/4088/2335/1282/5603/1906/3717/6300/6772/1027/5290/5879/5580/5595/7423/5293/5600/1284/5333/27035/2308/4846/51196/10000/1432/1277/5599/23236/5970/5291/6777/7040/4790/7424/8503	44
hsa05164	Influenza A	Infectious disease: viral	66/2118	1.54450317348895e-05	8.66777148780388e-06	3576/3552/3553/3383/4939/4938/4600/4599/9021/834/3455/4792/4940/3569/8743/9641/6773/8795/637/7113/4261/64135/10379/317/7098/5371/3459/56649/896/29110/3551/3665/6041/7132/3717/6772/79671/3123/8766/10241/842/3460/5611/8797/5290/91543/3716/3841/5595/5293/578/103/9407/355/51135/402569/3454/841/10000/5970/5291/5604/4790/3117/8503/5610	66
hsa05163	Human cytomegalovirus infection	Infectious disease: viral	81/2118	2.03655125195808e-05	1.14291515732518e-05	3576/3553/5743/2185/6774/5330/4792/7422/3588/3569/112/64764/567/2770/4776/637/6714/4193/3554/54331/3105/9826/29110/7248/3551/2923/6655/1026/5603/6667/7132/6300/3710/3106/5880/842/5881/5608/5290/6376/3716/2768/3107/3685/7188/5879/59345/6654/5595/2776/5293/578/10681/355/5600/7157/841/2885/23365/10000/5747/1432/113/196883/3133/23236/10672/2792/5970/7186/5582/5291/5604/3587/4790/811/3709/1399/148327/2783/8503	81
hsa05133	Pertussis	Infectious disease: bacterial	36/2118	2.30534232389293e-05	1.29376104935596e-05	718/716/3576/6372/6374/715/3552/3553/51561/722/3678/834/3569/2770/23643/2353/3659/5603/727/6300/929/10392/3689/5595/725/4843/5600/51135/3688/840/1432/5599/5970/710/4790/7189	36
hsa04611	Platelet activation	Immune system	51/2118	2.93416699926628e-05	1.64665825834753e-05	10125/2244/5330/112/2770/4067/5742/6714/2266/2243/5500/123745/5603/6300/3710/7408/2534/5321/11093/283748/5290/255189/8773/10627/84876/5595/2776/5293/6850/5600/6786/4846/3688/5584/23365/10235/2212/103910/10000/1432/113/196883/1277/3674/6916/23236/10672/5291/83660/3709/8503	51
hsa04926	Relaxin signaling pathway	Endocrine system	52/2118	3.49502506284045e-05	1.96141251820259e-05	5330/4792/7422/112/64764/2770/4322/6714/54331/2353/1282/6655/5603/1906/6300/2769/5290/25759/59345/6654/5595/7423/5293/10681/4843/5600/1284/4846/2885/4318/53358/10000/1432/113/196883/1277/399694/5599/23236/408/2792/3640/5970/5291/5604/7040/4790/6464/148327/2783/7424/8503	52
