logCPM	PValue	FDR	log2FoldChange
RPL36	8.89552969455318	1.18098695872491e-35	2.70855501488468e-34	-1.4123
HARS	6.23680718210348	1.25661157352294e-35	2.87838154156019e-34	-1.3195
MB21D2	4.31329001209414	1.70707233845737e-35	3.89553907635973e-34	-1.8189
SFN	6.34134187226619	1.72309658628324e-35	3.92719741313193e-34	-1.465
GCSH	5.91505825038972	1.91601551263674e-35	4.35601235351138e-34	-1.5084
CPSF2	7.42038229403389	2.82542857773793e-35	6.39170063385175e-34	-1.2757
FABP5	6.08955022065849	3.06642382779661e-35	6.91973218791778e-34	-1.6602
TRMT1	4.8230621313404	3.40772375159682e-35	7.67095003811979e-34	-1.5013
PSME3	7.40867130455456	4.00837098766842e-35	9.0008389607472e-34	-1.223
CYP51A1	6.78931961037119	5.52764142531919e-35	1.23667428750768e-33	-1.3034
AGPAT9	5.56148218112569	7.59779098705079e-35	1.68741207128466e-33	-1.2514
FAM126A	6.31121934522068	1.11036943605001e-34	2.45410465188001e-33	-1.1724
BIRC5	6.80840474152956	1.26100165327212e-34	2.77694163837586e-33	-1.1942
RRP36	5.36436838307125	1.3387909778376e-34	2.93761635713982e-33	-1.4035
TSN	6.52306658844378	1.47232514524759e-34	3.22674283933253e-33	-1.1886
CCT6A	10.8833717679156	1.8822209766283e-34	4.10045658106519e-33	-1.335
RAB8A	6.14752317809081	2.4315056167978e-34	5.26566625625867e-33	-1.5295
KIF23	6.84298772623084	2.70527247266954e-34	5.84466914332012e-33	-1.1648
LAS1L	6.68502112616712	2.82532714060277e-34	6.09682887456787e-33	-1.2178
RNASEH2A	4.59735057807558	3.26310124725307e-34	7.01662854768575e-33	-1.5468
GPATCH4	7.09066642218418	4.29426129380328e-34	9.22306284466736e-33	-2.2964
CCND1	8.53344195933696	4.30807721018391e-34	9.24186340177645e-33	-1.2257
MDFIC	5.85734809140216	4.69315696753142e-34	1.00561353989734e-32	-1.1837
MMACHC	4.71290516659205	4.834449318346e-34	1.03467417064155e-32	-1.5528
BMP2K	4.99867535212096	5.01619892177447e-34	1.07106114053701e-32	-1.3507
STXBP4	3.51234545643541	5.2880888447996e-34	1.12779614428343e-32	-2.0735
